"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"Hotham","Victoria","age_pension",18177
"Indi","Victoria","age_pension",18742
"Isaacs","Victoria","age_pension",15427
"Jagajaga","Victoria","age_pension",13507
"Kooyong","Victoria","age_pension",9019
"La Trobe","Victoria","age_pension",11655
"Lalor","Victoria","age_pension",11263
"Mallee","Victoria","age_pension",20063
"Maribyrnong","Victoria","age_pension",18911
"McEwen","Victoria","age_pension",12867
"McMillan","Victoria","age_pension",20018
"Melbourne","Victoria","age_pension",8648
"Melbourne Ports","Victoria","age_pension",8200
"Menzies","Victoria","age_pension",15651
"Murray","Victoria","age_pension",20992
"Scullin","Victoria","age_pension",15776
"Wannon","Victoria","age_pension",19100
"Wills","Victoria","age_pension",18762
"Blair","Queensland","age_pension",13803
"Bonner","Queensland","age_pension",14189
"Bowman","Queensland","age_pension",16007
"Brisbane","Queensland","age_pension",7605
"Capricornia","Queensland","age_pension",13529
"Dawson","Queensland","age_pension",13007
"Dickson","Queensland","age_pension",10976
"Fadden","Queensland","age_pension",16436
"Fairfax","Queensland","age_pension",17681
"Fisher","Queensland","age_pension",18981
"Flynn","Queensland","age_pension",12300
"Forde","Queensland","age_pension",13549
"Griffith","Queensland","age_pension",9270
"Groom","Queensland","age_pension",16177
"Herbert","Queensland","age_pension",11410
"Hinkler","Queensland","age_pension",25061
"Kennedy","Queensland","age_pension",16690
"Leichhardt","Queensland","age_pension",12429
"Lilley","Queensland","age_pension",15363
"Longman","Queensland","age_pension",17915
"Maranoa","Queensland","age_pension",18223
"McPherson","Queensland","age_pension",17052
"Moncrieff","Queensland","age_pension",16942
"Moreton","Queensland","age_pension",11537
"Oxley","Queensland","age_pension",10626
"Petrie","Queensland","age_pension",17379
"Rankin","Queensland","age_pension",11931
"Ryan","Queensland","age_pension",8966
"Wide Bay","Queensland","age_pension",20985
"Wright","Queensland","age_pension",13829
"Adelaide","South Australia","age_pension",14108
"Barker","South Australia","age_pension",20414
"Boothby","South Australia","age_pension",17769
"Grey","South Australia","age_pension",20836
"Hindmarsh","South Australia","age_pension",21219
"Kingston","South Australia","age_pension",17090
"Makin","South Australia","age_pension",18124
"Mayo","South Australia","age_pension",19177
"Port Adelaide","South Australia","age_pension",18352
"Sturt","South Australia","age_pension",19972
"Wakefield","South Australia","age_pension",17717
